Key: 194200B, Action: Add, Quantity: 1000, Orders: 1
Key: 193900B, Action: Add, Quantity: 600, Orders: 1
Key: 193900B, Action: Update, Quantity: 1100, Orders: 2
Key: 193800B, Action: Add, Quantity: 250, Orders: 1
Key: 193400B, Action: Add, Quantity: 415, Orders: 1
Key: 193000B, Action: Add, Quantity: 165, Orders: 1
Key: 192900B, Action: Add, Quantity: 600, Orders: 1
Key: 192500B, Action: Add, Quantity: 466, Orders: 1
Key: 192500B, Action: Update, Quantity: 1466, Orders: 2
Key: 192000B, Action: Add, Quantity: 1500, Orders: 1
Key: 192000B, Action: Update, Quantity: 1760, Orders: 2
Key: 192000B, Action: Update, Quantity: 2760, Orders: 3
Key: 192000B, Action: Update, Quantity: 3760, Orders: 4
Key: 191200B, Action: Add, Quantity: 1500, Orders: 1
Key: 191100B, Action: Add, Quantity: 1000, Orders: 1
Key: 191000B, Action: Add, Quantity: 160, Orders: 1
Key: 191000B, Action: Update, Quantity: 760, Orders: 2
Key: 190700B, Action: Add, Quantity: 200, Orders: 1
Key: 190700B, Action: Update, Quantity: 1400, Orders: 2
Key: 190600B, Action: Add, Quantity: 500, Orders: 1
Key: 190500B, Action: Add, Quantity: 859, Orders: 1
Key: 190300B, Action: Add, Quantity: 520, Orders: 1
Key: 190300B, Action: Update, Quantity: 770, Orders: 2
Key: 190200B, Action: Add, Quantity: 530, Orders: 1
Key: 190200B, Action: Update, Quantity: 1530, Orders: 2
Key: 190100B, Action: Add, Quantity: 250, Orders: 1
Key: 190100B, Action: Update, Quantity: 1250, Orders: 2
Key: 190000B, Action: Add, Quantity: 250, Orders: 1
Key: 190000B, Action: Update, Quantity: 400, Orders: 2
Key: 190000B, Action: Update, Quantity: 1400, Orders: 3
Key: 190000B, Action: Update, Quantity: 2400, Orders: 4
Key: 190000B, Action: Update, Quantity: 4400, Orders: 5
Key: 190000B, Action: Update, Quantity: 4900, Orders: 6
Key: 190000B, Action: Update, Quantity: 5900, Orders: 7
Key: 190000B, Action: Update, Quantity: 8531, Orders: 8
Key: 190000B, Action: Update, Quantity: 9531, Orders: 9
Key: 190000B, Action: Update, Quantity: 10031, Orders: 10
Key: 190000B, Action: Update, Quantity: 10531, Orders: 11
Key: 190000B, Action: Update, Quantity: 10794, Orders: 12
Key: 190000B, Action: Update, Quantity: 11094, Orders: 13
Key: 189500B, Action: Add, Quantity: 500, Orders: 1
Key: 189500B, Action: Update, Quantity: 1500, Orders: 2
Key: 189500B, Action: Update, Quantity: 1700, Orders: 3
Key: 189100B, Action: Add, Quantity: 49, Orders: 1
Key: 189000B, Action: Add, Quantity: 400, Orders: 1
Key: 189000B, Action: Update, Quantity: 650, Orders: 2
Key: 189000B, Action: Update, Quantity: 1650, Orders: 3
Key: 188800B, Action: Add, Quantity: 200, Orders: 1
Key: 188700B, Action: Add, Quantity: 1000, Orders: 1
Key: 188300B, Action: Add, Quantity: 250, Orders: 1
Key: 188100B, Action: Add, Quantity: 1500, Orders: 1
